stn_code,mrt_station,Distance,
NS,Jurong East,0.0,
NS,Bukit Batok,2.1,
NS,Bukit Gombak,3.3,
NS,Choa Chu Kang,6.6,
NS,Yew Tee,8.0,
NS,Kranji,12.1,
NS,Marsiling,13.8,
NS,Woodlands,15.3,
NS,Admiralty,17.0,
NS,Sembawang,19.4,
NS,Canberra,20.9,
NS,Yishun,22.6,
NS,Khatib,24.0,
NS,Yio Chu Kang,28.9,
NS,Ang Mo Kio,30.4,
NS,Bishan,32.8,
NS,Braddell,34.0,
NS,Toa Payoh,34.9,
NS,Novena,36.4,
NS,Newton,37.6,
NS,Orchard,38.8,
NS,Somerset,39.8,
NS,Dhoby Ghaut,40.6,
NS,City Hall,41.6,
NS,Raffles Place,42.6,
NS,Marina Bay,43.6,
NS,Marina South Pier,45.0,
EW,Pasir Ris,0.0,
EW,Tampines,2.4,
EW,Simei,3.8,
EW,Tanah Merah,6.3,
EW,Bedok,8.2,
EW,Kembangan,10.2,
EW,Eunos,11.3,
EW,Paya Lebar,12.4,
EW,Aljunied,13.6,
EW,Kallang,15.0,
EW,Lavender,16.1,
EW,Bugis,17.2,
EW,City Hall,18.2,
EW,Raffles Place,19.2,
EW,Tanjong Pagar,20.4,
EW,Outram Park,21.4,
EW,Tiong Bahru,22.9,
EW,Redhill,24.1,
EW,Queenstown,25.5,
EW,Commonwealth,26.7,
EW,Buona Vista,27.8,
EW,Dover,29.2,
EW,Clementi,30.9,
EW,Jurong East,34.4,
EW,Chinese Garden,35.8,
EW,Lakeside,37.2,
EW,Boon Lay,39.0,
EW,Pioneer,39.9,
EW,Joo Koon,42.5,
EW,Gul Circle,44.8,
EW,Tuas Crescent,46.5,
EW,Tuas West Road,47.9,
EW,Tuas Link,49.2,
CG,Expo,0.0,
CG,Changi Airport,4.5,
NE,HarbourFront,0.0,
NE,Outram Park,2.6,
NE,Chinatown,3.4,
NE,Clarke Quay,4.0,
NE,Dhoby Ghaut,5.4,
NE,Little India,6.4,
NE,Farrer Park,7.2,
NE,Boon Keng,8.4,
NE,Potong Pasir,10.0,
NE,Woodleigh,10.9,
NE,Serangoon,12.1,
NE,Kovan,13.8,
NE,Hougang,15.3,
NE,Buangkok,16.6,
NE,Sengkang,17.7,
NE,Punggol,19.4,
CC,Dhoby Ghaut,0.0,
CC,Bras Basah,0.6,
CC,Esplanade,1.3,
CC,Promenade,2.1,
CC,Nicoll Highway,2.9,
CC,Stadium,4.4,
CC,Mountbatten,5.3,
CC,Dakota,6.0,
CC,Paya Lebar,7.2,
CC,MacPherson,8.3,
CC,Tai Seng,9.3,
CC,Bartley,10.6,
CC,Serangoon,11.9,
CC,Lorong Chuan,12.8,
CC,Bishan,14.5,
CC,Marymount,16.1,
CC,Caldecott,17.3,
CC,Botanic Gardens,21.2,
CC,Farrer Road,22.2,
CC,Holland Village,23.6,
CC,Buona Vista,24.5,
CC,one-north,25.3,
CC,Kent Ridge,26.1,
CC,Haw Par Villa,27.5,
CC,Pasir Panjang,28.8,
CC,Labrador Park,30.2,
CC,Telok Blangah,31.0,
CC,HarbourFront,32.5,
CE,Bayfront,0.0,
CE,Marina Bay,0.8,
DT,Bukit Panjang,0.0,
DT,Cashew,1.2,
DT,Hillview,2.1,
DT,Beauty World,4.7,
DT,King Albert Park,5.9,
DT,Sixth Avenue,7.5,
DT,Tan Kah Kee,8.8,
DT,Botanic Gardens,9.9,
DT,Stevens,11.0,
DT,Newton,12.6,
DT,Little India,14.0,
DT,Rochor,14.5,
DT,Bugis,15.3,
DT,Promenade,16.2,
DT,Bayfront,17.5,
DT,Downtown,18.4,
DT,Telok Ayer,19.0,
DT,Chinatown,19.6,
DT,Fort Canning,20.6,
DT,Bencoolen,21.6,
DT,Jalan Besar,22.5,
DT,Bendemeer,23.8,
DT,Geylang Bahru,25.2,
DT,Mattar,26.7,
DT,MacPherson,27.5,
DT,Ubi,28.6,
DT,Kaki Bukit,29.8,
DT,Bedok North,30.9,
DT,Bedok Reservoir,32.7,
DT,Tampines West,34.4,
DT,Tampines,35.7,
DT,Tampines East,37.1,
DT,Upper Changi,39.7,
DT,Expo,40.6,